ID,Rating [Star Wars],Rating [Spotlight],Rating [Rocky],Rating [Mad Max: Fury Road],Rating [Kung Fu Panda 3],Rating [Despicable Me],Rating [Big Hero 6],Rating [The hungover],Rating [Inside out],Rating [The big short],Rating [Almost famous],Rating [The hunger games],Rating [Pulp Fiction],Rating [Inglourious Basterds],Rating [The usual suspects],Rating [Mamma mia],Rating [Frozen],Rating [Legally blonde],Rating [Silver Linings],Rating [Twilight],Rating [Bridget Jones Diary],Rating [Gone girl],Rating [The matrix],Rating [Alien],Rating [2001: A space Odyssey],Rating [The godfather],Rating [Pretty woman],Rating [Pretty woman]
971,N/A,N/A,N/A,4,5,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,3,N/A,N/A,N/A,3,N/A,5,N/A,
799,4,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,5,N/A,
697,N/A,N/A,N/A,N/A,N/A,3,N/A,5,N/A,5,4,N/A,N/A,N/A,3,N/A,4,4,N/A,N/A,2,N/A,N/A,N/A,N/A,5,N/A,
554,5,N/A,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,5,N/A,N/A,5,4,4,5,N/A,
13,5,5,5,N/A,5,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,5,5,N/A,N/A,N/A,
339,N/A,N/A,N/A,4,5,4,5,5,5,4,N/A,3,N/A,N/A,N/A,N/A,2,N/A,N/A,1,N/A,3,3,N/A,N/A,N/A,N/A,
338,5,N/A,4,N/A,N/A,3,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,5,5,N/A,5,N/A,
359,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,4,N/A,2,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
179,1,N/A,5,3,N/A,N/A,N/A,5,N/A,N/A,N/A,4,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,1,5,3,
179,3,N/A,5,4,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,4,1,N/A,N/A,4,N/A,N/A,5,3,
705,4,5,3,5,5,1,1,1,5,5,3,4,5,5,5,5,4,2,2,1,3,1,5,5,5,5,5,
913,4,N/A,N/A,5,5,5,N/A,N/A,4,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,4,N/A,3,N/A,N/A,3,
